index_mol,type,File Name,smiles,homo,lumo,En,Ea,EA,stable,same_sml,G1aACN,G2aACN,G1aH2O,G2aH2O,G1aDMF,G2aDMF,G1aDMSO,G2aDMSO,G1aTHF,G2aTHF,G1nACN,G2nACN,G1nH2O,G2nH2O,G1nDMF,G2nDMF,G1nDMSO,G2nDMSO,G1nTHF,G2nTHF,RP_ACN,RP_H2O,RP_DMSO,RP_DMF,RP_THF,imaginary_a,stable_a,imaginary_n,stable_n,adj
14598,OMEAD,14598.xyz,N=C1NC=CC=Nc2nc(ccc2Br)NC1=O,-0.280236,-0.052393,-90038.10598911186,-90039.85006354656,-1.5100744346968131,stable,yes,-2.2502409965198646,-0.1910048635062584,-2.41665574918819,0.1013229466625915,-2.237564573562534,-0.1905158749465434,-2.2529093447761612,-0.1230134124853194,-1.9466607350870553,-0.2463092791303406,-0.7682897364221443,-0.1953986855840092,-0.9040688252023492,0.1091750634567684,-0.7537686537840637,-0.1944536342384943,-0.7601214233528484,-0.126598512248394,-0.6364146648184729,-0.2506758898246903,3.4556318727167827,3.498513475476831,3.4672772563570513,3.4579325951833324,3.283953894271046,False,True,False,True,stable
14599,OMEAD,14599.xyz,N=C(C=O)N1C(=N)OCc2n[nH]c(=N)c(Br)c21,-0.289792,-0.065818,-91484.61261304496,-91486.23257527153,-1.3859622265412472,stable,yes,-2.8018481196032816,-0.012144712525676,-3.2205129406260427,0.0712568170290525,-2.759700679967391,-0.0270532852633862,-2.779161172920411,0.0255991089344397,-2.3914112045794647,-0.0647854058286396,-0.979960557166085,-0.010417333907384,-1.1050964575566782,0.0978747201580236,-0.9582129474382152,-0.0237307753501307,-0.9657646505596456,0.0296889798596018,-0.8169986569375052,-0.0625720319028067,3.677577167596736,3.995996612739583,3.6714486198271747,3.6587724689836785,3.43058814810904,False,True,False,True,stable
14600,OMEAD,14600.xyz,O=CC(=O)n1cnc2c(Br)c3ncsc3cc21,-0.285135,-0.084798,-99878.59387244468,-99880.7152713504,-1.887398905714159,stable,yes,-2.037893428670742,-0.1801399023419288,-2.4835350709695327,0.1230781755778136,-1.989844384202854,-0.2040072788367324,-2.0027654374969592,-0.1423051948612539,-1.74256501925427,-0.2505360233140095,-0.58033989493031,-0.1791178427813893,-0.7126443621640483,0.1402515517559845,-0.5543658131326052,-0.2033977438485512,-0.5587977311471173,-0.1414396007552698,-0.4716905554008478,-0.250319964929806,3.8139744990151305,4.143462990697815,3.8002322061699845,3.7914870117725887,3.6264894279517845,False,True,False,True,stable
14601,OMEAD,14601.xyz,N=C1Nc2c(Br)cccc2CC(=O)OC1C=O,-0.314705,-0.015744,-90716.97895504962,-90717.5378714224,-0.32491637278546115,stable,yes,-2.2723790895995375,-0.1288165121094051,-3.130096044316716,0.2070666546725006,-2.3259534054669877,-0.1788955257790036,-2.341590154824507,-0.127233081709304,-2.0279525660867086,-0.208716752961934,-0.5262099226138126,-0.1222313573263762,-1.0097499470304363,0.2306273588763755,-0.7165146372251648,-0.1640672266223262,-0.7218940556096978,-0.1082501485349702,-0.615154410967314,-0.1996662468427795,2.545670694554215,2.9368231742756152,2.4315954051746043,2.417183440183962,2.2147650340240106,False,True,False,True,stable
14602,OMEAD,14602.xyz,O=CC1=Nc2c(Br)ccnc2CC(=O)C(=O)N1,-0.31808,-0.077373,-91120.85830028613,-91122.82441770456,-1.7321174184439003,stable,yes,-2.263858933342868,-0.1450793953989803,-2.9791950455529377,0.1633161924404601,-2.17641052684875,-0.2176396376929381,-2.190931609486831,-0.167973420709532,-1.89967538359631,-0.2427190092044198,-0.7460749072412802,-0.1375358556925701,-1.0450284171544266,0.1609196859043388,-0.6970696547606829,-0.206099289992597,-0.7024297530630014,-0.1563106217838866,-0.5963494402404225,-0.2320929639863505,3.725444984251898,4.13188754030629,3.7002820737933755,3.690998638232309,3.5140694070178577,False,True,False,True,stable
14603,OMEAD,14603.xyz,N=c1nc2c(c(Br)[nH]1)N=C(NC=O)C(=O)CC2,-0.270428,-0.067552,-91049.92025046368,-91051.75440709468,-1.6001566309973132,stable,yes,-2.1317743340870092,-0.2231624600679941,-2.677015626137609,0.1218408739745726,-2.0759948077087462,-0.2749930704871115,-2.08887504392775,-0.2167217977308242,-1.8272658923663936,-0.3107338620150837,-0.9042884210663952,-0.2213039225817095,-1.1689357235844668,0.1291269939940098,-0.8704429023922987,-0.274864088529791,-0.8771744544180246,-0.2171789489719601,-0.7444128359431504,-0.3095270371612518,3.2975010815042123,3.5835226535698927,3.279400069265903,3.273837518271081,3.152216512274388,False,True,False,True,stable
14605,OMEAD,14605.xyz,N=C1Nc2c(Br)c(coc2=O)N=COCC1=O,-0.292318,-0.067983,-92128.65409392703,-92130.56513251225,-1.6770385851963656,stable,yes,-2.286942894109558,-0.0477499913643115,-2.8460385899049156,0.172405338724044,-2.2097722271259777,-0.1207143227017734,-2.224033168938745,-0.0788555958437666,-1.936206121584412,-0.1382776380040799,-0.6833047764673146,-0.0343685214630624,-0.9296431717778942,0.1807075317996725,-0.6426270236489088,-0.1014162817076567,-0.6474962285946742,-0.0602492682157019,-0.5510846645221192,-0.11992546469698,3.762058172739858,4.069736196399016,3.7401818531685014,3.731481829667551,3.5485122155657582,False,True,False,True,stable
14606,OMEAD,14606.xyz,N=c1c2cc(Br)c(ncncoc1=O)C(=O)C2,-0.293597,-0.075495,-91118.88222377346,-91121.3815237594,-2.2652999859387055,stable,yes,-2.15705588617716,-0.1223584344868586,-2.608047286452576,0.0893755166665723,-2.0997566040359543,-0.181410401832919,-2.1129486827087325,-0.1350509121603957,-1.8455764322568904,-0.205463359962517,-0.8327654767076812,-0.1250063742056046,-1.0763133446504938,0.1330291063737055,-0.7949748516681158,-0.1817445576210826,-0.8015069442535128,-0.1337801405555716,-0.6735590195022659,-0.2076242159183861,4.054942455689439,4.308687517447921,4.04601249599875,4.037747582518381,3.903156542737461,False,True,False,True,stable
14607,OMEAD,14607.xyz,N=C1COC(=O)C(=N)Nc2cncc(c2Br)N1,-0.323818,-0.041665,-91049.04953082152,-91050.24646923551,-0.9629384140102193,stable,yes,-2.3801236506309182,-0.0425131606287995,-2.543970192933863,0.0416715125402083,-2.36143840999099,-0.0481968022797551,-2.3764288889927383,0.0084227395040947,-2.0728867234966906,-0.0898201506713437,-0.9452581520286928,-0.0217108743602785,-1.062911466211694,0.0637538222839098,-0.930990951597743,-0.0224477586227761,-0.9381704029942486,0.0317516027213935,-0.7963272574231428,-0.0636583103281724,2.8866061988809655,2.93407945047609,2.892525763226008,2.887134916060446,2.7336597204269384,False,True,False,True,stable
14608,OMEAD,14608.xyz,N#CC(=Nc1nc2cn[nH]c(Br)c-2n1)OC=O,-0.320432,-0.082551,-91421.1567317354,-91423.11776062514,-1.7270288897529245,stable,yes,-2.7176057583014637,-0.0551762500082636,-2.9646113767330347,0.0916770554746242,-2.688852305803186,-0.0678877756501814,-2.7101805881128476,-0.0081269517665264,-2.2939895539550665,-0.1152119088642682,-0.910791125357719,-0.0242526896837609,-1.0423445584095912,0.0913488861908088,-0.8898557754243673,-0.0296481627845004,-0.8972880205726678,0.0298443568588212,-0.7522181491578778,-0.0780928607670381,4.032767083021172,4.116967538792553,4.0458927659184525,4.032265032997425,3.773919342647343,False,True,False,True,stable
