method,split,count,mean,std,min,max,fraction
scaffold,train,24081,6.809239960965076,1.0508985654853593,3.418,11.0,0.7999800677695834
scaffold,valid,3010,6.746121262458472,0.9795054738624072,3.53,10.69,0.09999335592319447
scaffold,test,3011,6.771599800730654,1.0085743414571915,4.204,10.99,0.10002657630722211
random,train,24081,6.798643723267306,1.0406496855057716,3.418,11.0,0.7999800677695834
random,valid,3010,6.801117275747509,1.034229930858817,4.438,10.99,0.09999335592319447
random,test,3011,6.801367319827301,1.040635103763151,3.94,10.99,0.10002657630722211
