dataset_id,dataset_version,canonical_smiles,original_ids,representative_smiles,source_groups,groundState_charge,reduction_potential,duplicate_count,target_min,target_max,target_range,cleaning_action,murcko_scaffold
D3R_018975,D3TaLES-Reduction-v1,Cc1cc(C(=O)NC2(C#N)CCCCC2)cc(S(N)(=O)=O)c1C,81ZDNR,Cc1cc(C(=O)NC2(C#N)CCCCC2)cc(S(N)(=O)=O)c1C,Zinc,0.0,6.706,1,6.706,6.706,0.0,kept_unique,O=C(NC1CCCCC1)c1ccccc1
D3R_018976,D3TaLES-Reduction-v1,Cc1cc(C(=O)NC2CCN(S(C)(=O)=O)CC2)c(C)s1,81IBOT,Cc1cc(C(=O)NC2CCN(S(C)(=O)=O)CC2)c(C)s1,Zinc,0.0,5.863,1,5.863,5.863,0.0,kept_unique,O=C(NC1CCNCC1)c1ccsc1
D3R_018977,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCC(=O)N[C@@H](C)c2ncc(C)s2)c(C)o1,81SZII,Cc1cc(C(=O)NCC(=O)N[C@@H](C)c2ncc(C)s2)c(C)o1,Zinc,0.0,5.848,1,5.848,5.848,0.0,kept_unique,O=C(CNC(=O)c1ccoc1)NCc1nccs1
D3R_018978,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCC(C)C)ccc1NC(=O)C(=O)N[C@@H]1CCC[C@@H](C)[C@@H]1C,06MZFE,Cc1cc(C(=O)NCC(C)C)ccc1NC(=O)C(=O)N[C@@H]1CCC[C@@H](C)[C@@H]1C,Zinc,0.0,6.549,1,6.549,6.549,0.0,kept_unique,O=C(Nc1ccccc1)C(=O)NC1CCCCC1
D3R_018979,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCC2(O)CCSCC2)c(C)n1Cc1cccs1,06AOEN,Cc1cc(C(=O)NCC2(O)CCSCC2)c(C)n1Cc1cccs1,Zinc,0.0,5.815,1,5.815,5.815,0.0,kept_unique,O=C(NCC1CCSCC1)c1ccn(Cc2cccs2)c1
D3R_018980,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCC2CCN(C(=O)C(F)(F)F)CC2)c(C)s1,81HYBP,Cc1cc(C(=O)NCC2CCN(C(=O)C(F)(F)F)CC2)c(C)s1,Zinc,0.0,8.041,1,8.041,8.041,0.0,kept_unique,O=C(NCC1CCNCC1)c1ccsc1
D3R_018981,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCC2CCN(C(=O)c3ccno3)CC2)no1,81UHPV,Cc1cc(C(=O)NCC2CCN(C(=O)c3ccno3)CC2)no1,Zinc,0.0,8.104,1,8.104,8.104,0.0,kept_unique,O=C(NCC1CCN(C(=O)c2ccno2)CC1)c1ccon1
D3R_018982,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCCC(=O)N2C[C@H](C)O[C@@H](C)C2)no1,81FSJN,Cc1cc(C(=O)NCCC(=O)N2C[C@H](C)O[C@@H](C)C2)no1,Zinc,0.0,7.757,1,7.757,7.757,0.0,kept_unique,O=C(NCCC(=O)N1CCOCC1)c1ccon1
D3R_018983,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCCC/C(N)=N/O)sc1Br,06SZYD,Cc1cc(C(=O)NCCC/C(N)=N/O)sc1Br,Zinc,0.0,6.458,1,6.458,6.458,0.0,kept_unique,c1ccsc1
D3R_018984,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCCCOCC(F)(F)F)c(C)s1,81QXHA,Cc1cc(C(=O)NCCCOCC(F)(F)F)c(C)s1,Zinc,0.0,5.863,1,5.863,5.863,0.0,kept_unique,c1ccsc1
D3R_018985,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCCCOc2ccccc2)no1,81IRII,Cc1cc(C(=O)NCCCOc2ccccc2)no1,Zinc,0.0,7.241,1,7.241,7.241,0.0,kept_unique,O=C(NCCCOc1ccccc1)c1ccon1
D3R_018986,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCCCSc2nccs2)c(C)o1,81JGVO,Cc1cc(C(=O)NCCCSc2nccs2)c(C)o1,Zinc,0.0,8.203,1,8.203,8.203,0.0,kept_unique,O=C(NCCCSc1nccs1)c1ccoc1
D3R_018987,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCCCn2cccn2)c(C)n1C(C)C,06CGJU,Cc1cc(C(=O)NCCCn2cccn2)c(C)n1C(C)C,Zinc,0.0,5.173,1,5.173,5.173,0.0,kept_unique,O=C(NCCCn1cccn1)c1cc[nH]c1
D3R_018988,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCCCn2cnc3ccccc32)c(C)n1C(C)C,06MXJQ,Cc1cc(C(=O)NCCCn2cnc3ccccc32)c(C)n1C(C)C,Zinc,0.0,5.643,1,5.643,5.643,0.0,kept_unique,O=C(NCCCn1cnc2ccccc21)c1cc[nH]c1
D3R_018989,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCCNC(=O)C(C)C)c(C)o1,81XUNX,Cc1cc(C(=O)NCCNC(=O)C(C)C)c(C)o1,Zinc,0.0,6.974,1,6.974,6.974,0.0,kept_unique,c1ccoc1
D3R_018990,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCCOc2ccc(C(C)C)cc2)cc(S(N)(=O)=O)c1C,81HHNR,Cc1cc(C(=O)NCCOc2ccc(C(C)C)cc2)cc(S(N)(=O)=O)c1C,Zinc,0.0,6.43,1,6.43,6.43,0.0,kept_unique,O=C(NCCOc1ccccc1)c1ccccc1
D3R_018991,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCCOc2ccc(Cl)cc2)cc(S(N)(=O)=O)c1C,81WUSJ,Cc1cc(C(=O)NCCOc2ccc(Cl)cc2)cc(S(N)(=O)=O)c1C,Zinc,0.0,6.49,1,6.49,6.49,0.0,kept_unique,O=C(NCCOc1ccccc1)c1ccccc1
D3R_018992,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCC[C@@H](O)c2ccco2)c(C)o1,81OALE,Cc1cc(C(=O)NCC[C@@H](O)c2ccco2)c(C)o1,Zinc,0.0,5.594,1,5.594,5.594,0.0,kept_unique,O=C(NCCCc1ccco1)c1ccoc1
D3R_018993,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCC[C@@H](O)c2ccoc2)no1,81YNWK,Cc1cc(C(=O)NCC[C@@H](O)c2ccoc2)no1,Zinc,0.0,7.586,1,7.586,7.586,0.0,kept_unique,O=C(NCCCc1ccoc1)c1ccon1
D3R_018994,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCC[C@H](O)C(F)(F)F)on1,81KHBK,Cc1cc(C(=O)NCC[C@H](O)C(F)(F)F)on1,Zinc,0.0,6.834,1,6.834,6.834,0.0,kept_unique,c1cnoc1
D3R_018995,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCC[C@H]2CCCN(C(=O)OC(C)(C)C)C2)on1,81MQTH,Cc1cc(C(=O)NCC[C@H]2CCCN(C(=O)OC(C)(C)C)C2)on1,Zinc,0.0,6.253,1,6.253,6.253,0.0,kept_unique,O=C(NCC[C@H]1CCCNC1)c1ccno1
D3R_018996,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCCc2cccnc2)sc1C#CCN,81SURK,Cc1cc(C(=O)NCCc2cccnc2)sc1C#CCN,Zinc,0.0,6.674,1,6.674,6.674,0.0,kept_unique,O=C(NCCc1cccnc1)c1cccs1
D3R_018997,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCCc2nc3ccc(F)cc3[nH]2)ccc1F,81XORN,Cc1cc(C(=O)NCCc2nc3ccc(F)cc3[nH]2)ccc1F,Zinc,0.0,6.451,1,6.451,6.451,0.0,kept_unique,O=C(NCCc1nc2ccccc2[nH]1)c1ccccc1
D3R_018998,D3TaLES-Reduction-v1,Cc1cc(C(=O)NC[C@@H](C)Oc2ccccc2Br)on1,81HTOP,Cc1cc(C(=O)NC[C@@H](C)Oc2ccccc2Br)on1,Zinc,0.0,8.016,1,8.016,8.016,0.0,kept_unique,O=C(NCCOc1ccccc1)c1ccno1
D3R_018999,D3TaLES-Reduction-v1,Cc1cc(C(=O)NC[C@@H](O)Cc2ccccc2)c(C)o1,81LWRX,Cc1cc(C(=O)NC[C@@H](O)Cc2ccccc2)c(C)o1,Zinc,0.0,6.985,1,6.985,6.985,0.0,kept_unique,O=C(NCCCc1ccccc1)c1ccoc1
D3R_019000,D3TaLES-Reduction-v1,Cc1cc(C(=O)NC[C@@H](O)c2ccc3ccccc3c2)no1,81PCZX,Cc1cc(C(=O)NC[C@@H](O)c2ccc3ccccc3c2)no1,Zinc,0.0,8.151,1,8.151,8.151,0.0,kept_unique,O=C(NCCc1ccc2ccccc2c1)c1ccon1
D3R_019001,D3TaLES-Reduction-v1,Cc1cc(C(=O)NC[C@H](O)COc2cccc(C(F)(F)F)c2)c(C)s1,81VHJS,Cc1cc(C(=O)NC[C@H](O)COc2cccc(C(F)(F)F)c2)c(C)s1,Zinc,0.0,6.003,1,6.003,6.003,0.0,kept_unique,O=C(NCCCOc1ccccc1)c1ccsc1
D3R_019002,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCc2ccc(Cl)cc2Cl)on1,81WYEX,Cc1cc(C(=O)NCc2ccc(Cl)cc2Cl)on1,Zinc,0.0,7.429,1,7.429,7.429,0.0,kept_unique,O=C(NCc1ccccc1)c1ccno1
D3R_019003,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCc2ccc(N(C)C)cc2)sc1Br,06RABF,Cc1cc(C(=O)NCc2ccc(N(C)C)cc2)sc1Br,Zinc,0.0,6.411,1,6.411,6.411,0.0,kept_unique,O=C(NCc1ccccc1)c1cccs1
D3R_019004,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCc2ccc(N3CCCC3=O)cc2)c(C)n1C(C)C,06IVEA,Cc1cc(C(=O)NCc2ccc(N3CCCC3=O)cc2)c(C)n1C(C)C,Zinc,0.0,5.604,1,5.604,5.604,0.0,kept_unique,O=C(NCc1ccc(N2CCCC2=O)cc1)c1cc[nH]c1
D3R_019005,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCc2ccc(OCc3ccccc3)cc2)c(C)o1,81DVDK,Cc1cc(C(=O)NCc2ccc(OCc3ccccc3)cc2)c(C)o1,Zinc,0.0,6.782,1,6.782,6.782,0.0,kept_unique,O=C(NCc1ccc(OCc2ccccc2)cc1)c1ccoc1
D3R_019006,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCc2ccccn2)sc1C#CCCO,81ZIMS,Cc1cc(C(=O)NCc2ccccn2)sc1C#CCCO,Zinc,0.0,6.683,1,6.683,6.683,0.0,kept_unique,O=C(NCc1ccccn1)c1cccs1
D3R_019007,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCc2cccnc2)nc(N(C)C)n1,81KENM,Cc1cc(C(=O)NCc2cccnc2)nc(N(C)C)n1,Zinc,0.0,8.501,1,8.501,8.501,0.0,kept_unique,O=C(NCc1cccnc1)c1ccncn1
D3R_019008,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCc2ccon2)sc1Br,06HSHC,Cc1cc(C(=O)NCc2ccon2)sc1Br,Zinc,0.0,6.653,1,6.653,6.653,0.0,kept_unique,O=C(NCc1ccon1)c1cccs1
D3R_019009,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCc2cnn(Cc3ccccc3)c2)on1,81YKJL,Cc1cc(C(=O)NCc2cnn(Cc3ccccc3)c2)on1,Zinc,0.0,7.572,1,7.572,7.572,0.0,kept_unique,O=C(NCc1cnn(Cc2ccccc2)c1)c1ccno1
D3R_019010,D3TaLES-Reduction-v1,Cc1cc(C(=O)NCc2nccc3ccccc23)c(C)s1,81MWII,Cc1cc(C(=O)NCc2nccc3ccccc23)c(C)s1,Zinc,0.0,6.633,1,6.633,6.633,0.0,kept_unique,O=C(NCc1nccc2ccccc12)c1ccsc1
D3R_019011,D3TaLES-Reduction-v1,Cc1cc(C(=O)NN(C)c2ccccc2)c(C)o1,81STLI,Cc1cc(C(=O)NN(C)c2ccccc2)c(C)o1,Zinc,0.0,6.41,1,6.41,6.41,0.0,kept_unique,O=C(NNc1ccccc1)c1ccoc1
D3R_019012,D3TaLES-Reduction-v1,Cc1cc(C(=O)NN2CCOCC2)c(C)o1,81TANA,Cc1cc(C(=O)NN2CCOCC2)c(C)o1,Zinc,0.0,7.187,1,7.187,7.187,0.0,kept_unique,O=C(NN1CCOCC1)c1ccoc1
D3R_019013,D3TaLES-Reduction-v1,Cc1cc(C(=O)NNC(=O)/C=C/c2ccc(Cl)cc2)c(C)o1,81DYMC,Cc1cc(C(=O)NNC(=O)/C=C/c2ccc(Cl)cc2)c(C)o1,Zinc,0.0,8.322,1,8.322,8.322,0.0,kept_unique,O=C(/C=C/c1ccccc1)NNC(=O)c1ccoc1
D3R_019014,D3TaLES-Reduction-v1,Cc1cc(C(=O)NNC(=O)COc2ccc(Cl)c(C)c2)c(C)o1,81EUVN,Cc1cc(C(=O)NNC(=O)COc2ccc(Cl)c(C)c2)c(C)o1,Zinc,0.0,7.462,1,7.462,7.462,0.0,kept_unique,O=C(COc1ccccc1)NNC(=O)c1ccoc1
D3R_019015,D3TaLES-Reduction-v1,Cc1cc(C(=O)NNC(=O)Cc2ccncc2)cc(C)c1OC(F)F,06RLRR,Cc1cc(C(=O)NNC(=O)Cc2ccncc2)cc(C)c1OC(F)F,Zinc,0.0,6.48,1,6.48,6.48,0.0,kept_unique,O=C(Cc1ccncc1)NNC(=O)c1ccccc1
D3R_019016,D3TaLES-Reduction-v1,Cc1cc(C(=O)NNC(=O)NCCCSc2ccc(F)cc2)c(C)o1,81KLQG,Cc1cc(C(=O)NNC(=O)NCCCSc2ccc(F)cc2)c(C)o1,Zinc,0.0,7.787,1,7.787,7.787,0.0,kept_unique,O=C(NCCCSc1ccccc1)NNC(=O)c1ccoc1
D3R_019017,D3TaLES-Reduction-v1,Cc1cc(C(=O)NNC(=O)NCc2ccnc(OC(C)(C)C)c2)c(C)o1,81UHTI,Cc1cc(C(=O)NNC(=O)NCc2ccnc(OC(C)(C)C)c2)c(C)o1,Zinc,0.0,5.756,1,5.756,5.756,0.0,kept_unique,O=C(NCc1ccncc1)NNC(=O)c1ccoc1
D3R_019018,D3TaLES-Reduction-v1,Cc1cc(C(=O)NNC(=O)Nc2ccc(F)cc2F)c(C)o1,81XBPZ,Cc1cc(C(=O)NNC(=O)Nc2ccc(F)cc2F)c(C)o1,Zinc,0.0,5.959,1,5.959,5.959,0.0,kept_unique,O=C(NNC(=O)c1ccoc1)Nc1ccccc1
D3R_019019,D3TaLES-Reduction-v1,Cc1cc(C(=O)NNC(=O)[C@H](Oc2cccc(Cl)c2)C(C)C)[nH]n1,81PULD,Cc1cc(C(=O)NNC(=O)[C@H](Oc2cccc(Cl)c2)C(C)C)[nH]n1,Zinc,0.0,6.145,1,6.145,6.145,0.0,kept_unique,O=C(COc1ccccc1)NNC(=O)c1ccn[nH]1
D3R_019020,D3TaLES-Reduction-v1,Cc1cc(C(=O)NNC(=O)c2ccc(C)c(Cl)c2)c(C)o1,81SNQF,Cc1cc(C(=O)NNC(=O)c2ccc(C)c(Cl)c2)c(C)o1,Zinc,0.0,6.531,1,6.531,6.531,0.0,kept_unique,O=C(NNC(=O)c1ccoc1)c1ccccc1
D3R_019021,D3TaLES-Reduction-v1,Cc1cc(C(=O)NNC(=O)c2cccc(F)c2)c(C)o1,81ODLH,Cc1cc(C(=O)NNC(=O)c2cccc(F)c2)c(C)o1,Zinc,0.0,6.548,1,6.548,6.548,0.0,kept_unique,O=C(NNC(=O)c1ccoc1)c1ccccc1
