LinComb(1-(SigmLin(redox_potential_-1)); SigmLin(redox_potential))_mean,LinComb(1-(SigmLin(redox_potential_-1)); SigmLin(redox_potential))_med,LinComb(1-(SigmLin(redox_potential_-1)); SigmLin(redox_potential))_min,LinComb(1-(SigmLin(redox_potential_-1)); SigmLin(redox_potential))_max,LinComb(1-(SigmLin(redox_potential_-1)); SigmLin(redox_potential))_std,1-(SigmLin(redox_potential_-1))_mean,1-(SigmLin(redox_potential_-1))_med,1-(SigmLin(redox_potential_-1))_min,1-(SigmLin(redox_potential_-1))_max,1-(SigmLin(redox_potential_-1))_std,SigmLin(redox_potential_-1)_mean,SigmLin(redox_potential_-1)_med,SigmLin(redox_potential_-1)_min,SigmLin(redox_potential_-1)_max,SigmLin(redox_potential_-1)_std,redox_potential_-1_mean,redox_potential_-1_med,redox_potential_-1_min,redox_potential_-1_max,redox_potential_-1_std,SigmLin(redox_potential)_mean,SigmLin(redox_potential)_med,SigmLin(redox_potential)_min,SigmLin(redox_potential)_max,SigmLin(redox_potential)_std,redox_potential_mean,redox_potential_med,redox_potential_min,redox_potential_max,redox_potential_std,total_mean,total_med,total_min,total_max,total_std,objective_calls,n_replaced,timestamps,n_failed_obj_computation,n_not_improvers_among_success_obj_computation,n_discarded_tabu,n_discarded_filters,n_discarded_rdfilters,n_discarded_sillywalks,n_discarded_sascore,n_discarded_custom_filter
0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.7028114199638367,0.7028114199638367,0.7028114199638367,0.7028114199638367,0.0,1.0,1.0,1.0,1.0,0.0,0.7028114199638367,0.7028114199638367,0.7028114199638367,0.7028114199638367,0.0,0.5,0.5,0.5,0.5,0.0,1,0,0.041255950927734375,0,0,0,0,0,0,0,0
0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6914118230342865,0.6914118230342865,0.6800122261047363,0.7028114199638367,0.011399596929550171,1.0,1.0,1.0,1.0,0.0,0.6914118230342865,0.6914118230342865,0.6800122261047363,0.7028114199638367,0.011399596929550171,0.5,0.5,0.5,0.5,0.0,2,1,0.06063103675842285,0,0,3,0,0,0,0,0
0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.9087501565615336,0.7028114199638367,0.6800122261047363,1.3434268236160278,0.3075037175616569,1.0,1.0,1.0,1.0,0.0,0.9087501565615336,0.7028114199638367,0.6800122261047363,1.3434268236160278,0.3075037175616569,0.5,0.5,0.5,0.5,0.0,3,1,0.0919809341430664,1,0,5,0,0,0,0,0
0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.9764653344949087,0.8151085376739502,0.6800122261047363,1.5023244619369507,0.32397128884212567,1.0,1.0,1.0,1.0,0.0,0.9764653344949087,0.8151085376739502,0.6800122261047363,1.5023244619369507,0.32397128884212567,0.5,0.5,0.5,0.5,0.0,6,3,0.16583490371704102,0,0,3,0,0,0,0,0
0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.1053795218467712,0.8581949472427368,0.6800122261047363,2.0780959129333496,0.4309984269687235,1.0,1.0,1.0,1.0,0.0,1.1053795218467712,0.8581949472427368,0.6800122261047363,2.0780959129333496,0.4309984269687235,0.5,0.5,0.5,0.5,0.0,11,5,0.33344292640686035,1,0,5,0,0,0,0,0
0.49999999999999933,0.5,0.49999999999998523,0.5,3.1447610193938157e-15,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.2830938725244432,1.3372762203216553,0.6800122261047363,2.4110467433929443,0.4762194800732773,0.9999999999999987,1.0,0.9999999999999705,1.0,6.289522038787631e-15,1.2830938725244432,1.3372762203216553,0.6800122261047363,2.4110467433929443,0.4762194800732773,0.49999999999999933,0.5,0.49999999999998523,0.5,3.1447610193938157e-15,21,10,0.5563929080963135,0,0,10,0,0,0,0,0
0.49999999999996747,0.5,0.499999999999006,0.5,1.7555392807494294e-13,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.2288233387854792,1.1582566499710083,0.6800122261047363,2.456813335418701,0.4802037524004243,0.9999999999999349,1.0,0.999999999998012,1.0,3.511078561498859e-13,1.2288233387854792,1.1582566499710083,0.6800122261047363,2.456813335418701,0.4802037524004243,0.49999999999996747,0.5,0.499999999999006,0.5,1.7555392807494294e-13,31,10,0.8846209049224854,0,0,8,0,0,0,0,0
0.4999999999999754,0.5,0.499999999999006,0.5,1.5328919920566113e-13,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.2131916081033103,1.1168124675750732,0.6800122261047363,2.456813335418701,0.4531941317902221,0.9999999999999508,1.0,0.999999999998012,1.0,3.0657839841132226e-13,1.2131916081033103,1.1168124675750732,0.6800122261047363,2.456813335418701,0.4531941317902221,0.4999999999999754,0.5,0.499999999999006,0.5,1.5328919920566113e-13,41,10,1.2890329360961914,0,0,19,0,0,0,0,0
0.49999999999998024,0.5,0.499999999999006,0.5,1.377883555731038e-13,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.2166686502157473,1.1582566499710083,0.6478987336158752,2.456813335418701,0.4408545781217396,0.9999999999999605,1.0,0.999999999998012,1.0,2.755767111462076e-13,1.2166686502157473,1.1582566499710083,0.6478987336158752,2.456813335418701,0.4408545781217396,0.49999999999998024,0.5,0.499999999999006,0.5,1.377883555731038e-13,51,10,1.5923850536346436,0,0,14,0,0,0,0,0
0.49999999999998346,0.5,0.499999999999006,0.5,1.262016376232746e-13,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.2293556899320883,1.1621984243392944,0.6478987336158752,2.456813335418701,0.4145959750870946,0.9999999999999669,1.0,0.999999999998012,1.0,2.524032752465492e-13,1.2293556899320883,1.1621984243392944,0.6478987336158752,2.456813335418701,0.4145959750870946,0.49999999999998346,0.5,0.499999999999006,0.5,1.262016376232746e-13,61,10,2.466202735900879,0,0,11,0,0,0,0,0
