history_data,total,LinComb(1-(SigmLin(redox_potential_-1)); SigmLin(redox_potential)),1-(SigmLin(redox_potential_-1)),SigmLin(redox_potential_-1),redox_potential_-1,SigmLin(redox_potential),redox_potential,smiles
C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-30|InsA-0|AddA-29|Sub-8,0.5,0.5,0.0,1.0,1.1811749935150146,1.0,1.1811749935150146,CCOC(S)Cl
C|AddA-15|Sub-8|ChB-1406|AddA-12|MoveFG-2|AddA-12_CutA-0|Sub-23_AddA-13,0.5,0.5,0.0,1.0,1.8897790908813477,1.0,1.8897790908813477,SC=PBr
C|AddA-15|AddA-12|Sub-16_AddA-29|ChB-705|Sub-28_Sub-4,0.5,0.5,0.0,1.0,1.2708410024642944,1.0,1.2708410024642944,BrP1CP1
C|AddA-15|Sub-8|InsA-0|InsA-37|MoveFG-41|InsA-2|Sub-3|Sub-11_MoveFG-2778,0.5,0.5,0.0,1.0,1.0927011966705322,1.0,1.0927011966705322,CC(F)CF
C|AddA-15|Sub-8|InsA-0|InsA-37|MoveFG-41|InsA-2|RmA-0_AddA-31,0.5,0.5,0.0,1.0,1.2671482563018799,1.0,1.2671482563018799,CC(C)(C)Br
C|AddA-15|Sub-8|ChB-1406|AddA-12|ChB-740|Sub-12|InsA-1_AddA-25,0.5,0.5,0.0,1.0,1.2181848287582397,1.0,1.2181848287582397,NP1CC=P1
C|AddA-15|AddA-12|Sub-16_AddA-29|Sub-9_AddA-38|InsA-1,0.5,0.5,0.0,1.0,1.608932614326477,1.0,1.608932614326477,NCCCSCl
C|AddA-15|Sub-8|ChB-1406|AddA-12|MoveFG-2|AddA-12_CutA-0|ChB-1407_InsA-37,0.5,0.5,0.0,1.0,1.9943633079528809,1.0,1.9943633079528809,C1=PCP=1
C|AddA-15|Sub-8|InsA-0|InsA-37|MoveFG-41|InsA-2|Sub-3|ChB-740_InsA-3,0.5,0.5,0.0,1.0,1.021331787109375,1.0,1.021331787109375,FCCC1CC1
C|AddA-15|Sub-8|ChB-1406|AddA-12|ChB-740|Sub-12|AddA-29_Sub-26,0.5,0.5,0.0,1.0,1.7193231582641602,1.0,1.7193231582641602,OP1C=P1
C|AddA-15|Sub-8|ChB-1406|AddA-12|MoveFG-2|AddA-13_InsA-2,0.5,0.5,0.0,1.0,1.0579057931900024,1.0,1.0579057931900024,C=PCCS
C|AddA-15|AddA-12|Sub-16_AddA-29|Sub-9_AddA-38|AddA-8,0.5,0.5,0.0,1.0,1.600515365600586,1.0,1.600515365600586,CC(N)CSCl
