smiles,n_success_mut,n_failures_mut,LinComb(1-(SigmLin(redox_potential_-1)); SigmLin(redox_potential)),1-(SigmLin(redox_potential_-1)),SigmLin(redox_potential_-1),redox_potential_-1,SigmLin(redox_potential),redox_potential,total,obj_computation_time,history_data
OC1C2=CC1C2P,0,0,0.5,0.0,1.0,1.351778268814087,1.0,1.351778268814087,0.5,0.04152703285217285,C|AddA-15|Sub-8|InsA-0|InsA-37|AddA-28|ChB-1408|AddA-10|InsA-4_InsA-1|CutA-6|ChB-744_MoveFG-153
CC1=C(O)C1O,0,0,0.5,0.0,1.0,1.1771025657653809,1.0,1.1771025657653809,0.5,0.03867793083190918,C|AddA-15|Sub-8|InsA-0|InsA-37|AddA-28|ChB-1408|AddA-10|InsA-4_InsA-1|MoveFG-6657_Sub-10|RmA-4_CutA-2
CCCC#N,0,0,0.5,0.0,1.0,1.3727233409881592,1.0,1.3727233409881592,0.5,0.07193279266357422,C|Sub-1|AddA-8|InsA-0_ChB-2110|InsA-37|InsA-73_MoveFG-39
C1#CPC1,0,0,0.5,0.0,1.0,1.1176671981811523,1.0,1.1176671981811523,0.5,0.028898000717163086,C|AddA-15|Sub-8|InsA-0|InsA-37|AddA-28|CutA-3|MoveFG-1409|ChB-2109
OPNP,0,0,0.5,0.0,1.0,0.9589558243751526,1.0,0.9589558243751526,0.5,0.03032517433166504,C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-18|RmA-2_AddA-17|RmA-0|AddA-28
NN(O)O,0,0,0.5,0.0,1.0,2.0727691650390625,1.0,2.0727691650390625,0.5,0.028605222702026367,C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-18|RmA-2_AddA-17|Sub-9
ONCl,0,0,0.5,0.0,1.0,1.709464430809021,1.0,1.709464430809021,0.5,0.01931023597717285,C|Sub-1|AddA-15|Sub-7_RmA-1|AddA-14|Sub-6|Sub-1_AddA-10
NC=S,0,0,0.5,0.0,1.0,1.1840362548828125,1.0,1.1840362548828125,0.5,0.020142078399658203,C|Sub-1|AddA-8|InsA-0_ChB-2110|ChB-1407|Sub-5|AddA-25_RmA-1
N#CPO,0,0,0.5,0.0,1.0,1.6449917554855347,1.0,1.6449917554855347,0.5,0.01981806755065918,C|Sub-1|AddA-8|InsA-0_ChB-2110|Sub-12|AddA-18
OPCPS,1,0,0.5,0.0,1.0,0.9245399832725525,1.0,0.9245399832725525,0.5,0.03613686561584473,C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-30|ChB-740_ChB-0|RmA-3_Sub-20|InsA-37_AddA-21
OCCCPS,0,0,0.5,0.0,1.0,0.9449409246444702,1.0,0.9449409246444702,0.5,0.03874683380126953,C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-30|ChB-740_ChB-0|RmA-3_Sub-20|InsA-37_AddA-21|InsA-38_Sub-16
C=C(C)CCP,0,0,0.5,0.0,1.0,0.9147530794143677,1.0,0.9147530794143677,0.5,0.07413697242736816,C|AddA-15|Sub-8|InsA-0|InsA-37|AddA-28|CutA-3|ChB-1443_InsA-73|InsA-108
NOCBr,0,0,0.5,0.0,1.0,1.5064634084701538,1.0,1.5064634084701538,0.5,0.02643609046936035,C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-18|CutA-1|Sub-17_AddA-23
OSS,0,0,0.5,0.0,1.0,2.0440797805786133,1.0,2.0440797805786133,0.5,0.01811981201171875,C|AddA-13|AddA-21|MoveFG-1406|Sub-2_RmA-2|AddA-13|MoveFG-2
CCC(=N)P,0,0,0.5,0.0,1.0,1.012224793434143,1.0,1.012224793434143,0.5,0.03429412841796875,C|Sub-1|AddA-8|InsA-0_ChB-2110|ChB-1407|InsA-37_MoveFG-2775|AddA-28
N#CCS,0,0,0.5,0.0,1.0,1.4292089939117432,1.0,1.4292089939117432,0.5,0.0531001091003418,C|Sub-1|AddA-8|InsA-0_ChB-2110|InsA-37|Sub-13
CP(C)C,0,0,0.5,0.0,1.0,0.7685737609863281,1.0,0.7685737609863281,0.5,0.040825843811035156,C|AddA-15|Sub-8|InsA-0|InsA-37|AddA-28|CutA-3|MoveFG-1409|MoveFG-41
OPS,0,0,0.5,0.0,1.0,1.1345345973968506,1.0,1.1345345973968506,0.5,0.018779993057250977,C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-18|RmA-2_AddA-17|RmA-0|Sub-21
NP(O)P,0,0,0.5,0.0,1.0,0.9541163444519043,1.0,0.9541163444519043,0.5,0.0341641902923584,C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-18|RmA-2_AddA-17|Sub-20
CC(P)CF,0,0,0.5,0.0,1.0,0.9958558082580566,1.0,0.9958558082580566,0.5,0.041731834411621094,C|AddA-15|Sub-8|InsA-0|InsA-37|MoveFG-41|InsA-2|Sub-3|Sub-36_MoveFG-115
OC(Br)SP,0,0,0.5,0.0,1.0,1.7640775442123413,1.0,1.7640775442123413,0.5,0.02947402000427246,C|AddA-15|Sub-5|InsA-0|Sub-20|InsA-37_AddA-35|MoveFG-2774_Sub-34
SSCl,0,0,0.5,0.0,1.0,2.0817081928253174,1.0,2.0817081928253174,0.5,0.01807093620300293,C|Sub-1|AddA-15|Sub-7_RmA-1|AddA-14|Sub-6|Sub-5_AddA-13
CONBr,0,0,0.5,0.0,1.0,1.8931208848953247,1.0,1.8931208848953247,0.5,0.0350499153137207,C|Sub-1|AddA-8|AddA-10_Sub-17|Sub-2_AddA-24|Sub-31
C#COCCl,0,0,0.5,0.0,1.0,1.3219751119613647,1.0,1.3219751119613647,0.5,0.03512310981750488,C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-30|InsA-0|RmA-1_InsA-2|ChB-1514_ChB-2217
PC1CCC1,0,0,0.5,0.0,1.0,0.8501771688461304,1.0,0.8501771688461304,0.5,0.09502315521240234,C|AddA-15|Sub-8|InsA-0|InsA-37|AddA-28|CutA-3_MoveFG-2775|ChB-703_MoveFG-1446|InsA-37
C1=[SH]CC1,0,0,0.5,0.0,1.0,1.0040737390518188,1.0,1.0040737390518188,0.5,0.036795854568481445,C|AddA-15|Sub-8|InsA-0|InsA-37|ChB-1443_Sub-13|RmA-0|InsA-37
CCOCO,0,0,0.5,0.0,1.0,1.0016411542892456,1.0,1.0016411542892456,0.5,0.05977582931518555,C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-18|CutA-1|AddA-16_InsA-1
CS1=C(F)C1,0,0,0.5,0.0,1.0,1.2332011461257935,1.0,1.2332011461257935,0.5,0.03255414962768555,C|AddA-15|Sub-8|InsA-0|ChB-2109|Sub-5_ChB-0|AddA-27|InsA-1|MoveFG-1406_ChB-1407
CCCC=N,0,0,0.5,0.0,1.0,1.0783194303512573,1.0,1.0783194303512573,0.5,0.048480987548828125,C|Sub-1|AddA-8|InsA-0_ChB-2110|ChB-1407|InsA-37_MoveFG-2775|InsA-37
C#CCC,1,0,0.5,0.0,1.0,1.0874096155166626,1.0,1.0874096155166626,0.5,0.03525805473327637,C|Sub-1|AddA-8|InsA-0_ChB-2110|InsA-37|Sub-0
C#CCCC,0,0,0.5,0.0,1.0,1.1068462133407593,1.0,1.1068462133407593,0.5,0.04204201698303223,C|Sub-1|AddA-8|InsA-0_ChB-2110|InsA-37|Sub-0|InsA-73
CC1=CS1,0,0,0.5,0.0,1.0,1.3770509958267212,1.0,1.3770509958267212,0.5,0.0596919059753418,C|AddA-15|Sub-8|InsA-0|InsA-37|MoveFG-41|ChB-1479_ChB-740|MoveFG-78_Sub-13
SC1OP1,0,0,0.5,0.0,1.0,1.4232978820800781,1.0,1.4232978820800781,0.5,0.033299922943115234,C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-18|ChB-740_MoveFG-1446|Sub-29
NC1PCC=[SH]1,0,0,0.5,0.0,1.0,1.0356611013412476,1.0,1.0356611013412476,0.5,0.0450439453125,C|AddA-15|Sub-8|ChB-1406|AddA-12|ChB-740|InsA-1_Sub-5|InsA-37_AddA-33
CCON,0,0,0.5,0.0,1.0,0.9013679623603821,1.0,0.9013679623603821,0.5,0.03653097152709961,C|Sub-1|AddA-8|AddA-10_Sub-17|Sub-2_AddA-24|ChB-1444|InsA-38_RmA-3
C1NO1,0,0,0.5,0.0,1.0,2.2140305042266846,1.0,2.2140305042266846,0.5,0.028478145599365234,C|Sub-1|AddA-8|AddA-10_Sub-17|Sub-2_AddA-24|RmA-3_ChB-740
CCOC(Cl)Cl,0,0,0.5,0.0,1.0,1.3211157321929932,1.0,1.3211157321929932,0.5,0.044316768646240234,C|Sub-1|AddA-15|Sub-2|AddA-8_Sub-12|AddA-30|InsA-0|RmA-1_InsA-2|AddA-22
C1C2PC12,0,0,0.5,0.0,1.0,0.8836584091186523,1.0,0.8836584091186523,0.5,0.04397010803222656,C|AddA-15|Sub-8|InsA-0|InsA-37|AddA-28|CutA-3_MoveFG-2775|ChB-703_MoveFG-1446|ChB-741
